0,1,2
334 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.34770628677546234 km
305 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.7896325282700234 km
364 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.47493691553275713 km
371 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.7000053128940236 km
449 CLEMENTI AVE 3,CLEMENTI MRT STATION,0.1909661999859922 km
418 CLEMENTI AVE 1,CLEMENTI MRT STATION,0.7424559024116152 km
730 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.151561969148698 km
716 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.4629837165787443 km
709 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.1262465757137172 km
611 CLEMENTI WEST ST 1,CLEMENTI MRT STATION,1.328065019027598 km
348 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.6529174986485595 km
411 C'WEALTH AVE WEST,CLEMENTI MRT STATION,0.6537508617712725 km
324 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.08484965348285947 km
307 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.7416820034662622 km
461 CLEMENTI AVE 3,CLEMENTI MRT STATION,0.4430060423272064 km
723 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.3276854422731832 km
724 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.2733353983971851 km
46 CIRCUIT RD,MATTAR MRT STATION,0.32307001428509097 km
43 CIRCUIT RD,MATTAR MRT STATION,0.26084089801618066 km
30 BALAM RD,MACPHERSON MRT STATION,0.46245353188751537 km
21 BALAM RD,TAI SENG MRT STATION,0.4871744313627478 km
22 BALAM RD,MACPHERSON MRT STATION,0.48397398771100547 km
47 CIRCUIT RD,MATTAR MRT STATION,0.3006113794415173 km
67 CIRCUIT RD,MACPHERSON MRT STATION,0.15883599882257204 km
82 MACPHERSON LANE,TAI SENG MRT STATION,0.44998054320093717 km
37 CIRCUIT RD,MATTAR MRT STATION,0.3886612912755136 km
24 BALAM RD,MACPHERSON MRT STATION,0.4980354899935083 km
65 CIRCUIT RD,MACPHERSON MRT STATION,0.2787672483912925 km
49 CIRCUIT RD,MATTAR MRT STATION,0.3273538196887122 km
