,licensee_name,address
378,NTUC Fairprice Co-operative Ltd,1 LOWER KENT RIDGE ROAD
379,COLD STORAGE SINGAPORE (1983) PTE LTD,1 VISTA EXCHANGE GREEN
381,NTUC Fairprice Co-operative Ltd,451 CLEMENTI AVENUE 3
382,NTUC Fairprice Co-operative Ltd,3155 COMMONWEALTH AVE WEST
383,SHENG SIONG SUPERMARKET PTE LTD,352 CLEMENTI AVENUE 2
384,NTUC Fairprice Co-operative Ltd,28 DOVER CRESCENT
385,U STARS SUPERMARKET PTE. LTD.,345 CLEMENTI AVENUE 5
386,SHENG SIONG SUPERMARKET PTE LTD,420A CLEMENTI AVENUE 1
387,NTUC Fairprice Co-operative Ltd,352 CLEMENTI AVENUE 2
389,SHENG SIONG SUPERMARKET PTE LTD,27 PENJURU WALK
416,PRIME SUPERMARKET LIMITED?,962 JURONG WEST STREET 91
417,SHENG SIONG SUPERMARKET PTE LTD,7 JURONG WEST AVE 5
418,COLD STORAGE SINGAPORE (1983) PTE LTD,638 JURONG WEST STREET 61
419,PRIME SUPERMARKET (1996) PTE LTD,50 NANYANG AVENUE
420,NTUC Fairprice Co-operative Ltd,1 JOO KOON CIRCLE
421,NTUC Fairprice Co-operative Ltd,1 JURONG WEST CENTRAL 2
422,NTUC Fairprice Co-operative Ltd,399 YUNG SHENG ROAD
423,SHENG SIONG SUPERMARKET PTE LTD,3 YUAN CHING ROAD
424,NTUC Fairprice Co-operative Ltd,66 YUNG KUANG ROAD
425,NTUC Fairprice Co-operative Ltd,63 JURONG WEST CENTRAL 3
427,NTUC Fairprice Co-operative Ltd,BLK 345 JURONG EAST STREET 31
428,SHENG SIONG SUPERMARKET PTE LTD,544 JURONG WEST STREET 42
429,NTUC Fairprice Co-operative Ltd,498 JURONG WEST STREET 41
430,NTUC Fairprice Co-operative Ltd,221 BOON LAY PLACE
432,COLD STORAGE SINGAPORE (1983) PTE LTD,492 JURONG WEST STREET 41
433,NTUC Fairprice Co-operative Ltd,135 JURONG EAST STREET 13
436,NTUC Fairprice Co-operative Ltd,50 JURONG GATEWAY ROAD
438,NTUC Fairprice Co-operative Ltd,1 JALAN ANAK BUKIT
439,COLD STORAGE SINGAPORE (1983) PTE LTD,2 JURONG EAST STREET 21
440,COLD STORAGE SINGAPORE (1983) PTE LTD,284 BUKIT BATOK EAST AVENUE 3
441,COLD STORAGE SINGAPORE (1983) PTE LTD,144 UPPER BUKIT TIMAH ROAD
444,NTUC Fairprice Co-operative Ltd,280 BUKIT BATOK EAST AVENUE 3
448,PRIME SUPERMARKET LIMITED?,159 BUKIT BATOK STREET 11
449,COLD STORAGE SINGAPORE (1983) PTE LTD,1 BUKIT BATOK CENTRAL LINK
450,NTUC Fairprice Co-operative Ltd,10 BUKIT BATOK CENTRAL
452,NTUC Fairprice Co-operative Ltd,140 TECK WHYE LANE
453,COLD STORAGE SINGAPORE (1983) PTE LTD,376 BUKIT BATOK STREET 31
454,PRIME SUPERMARKET (1996) PTE LTD,142 TECK WHYE LANE
455,PRIME SUPERMARKET LIMITED?,373 BUKIT BATOK STREET 31
456,SHENG SIONG SUPERMARKET PTE LTD,18 TECK WHYE LANE
457,NTUC Fairprice Co-operative Ltd,2 BUKIT BATOK WEST AVENUE 7
458,COLD STORAGE SINGAPORE (1983) PTE LTD,4 HILLVIEW RISE
459,NTUC Fairprice Co-operative Ltd,166 BUKIT BATOK WEST AVENUE 8
460,SHENG SIONG SUPERMARKET PTE LTD,154A BUKIT BATOK WEST AVENUE 8
462,NTUC Fairprice Co-operative Ltd,21 CHOA CHU KANG AVENUE 4
464,PRIME SUPERMARKET (1996) PTE LTD,253 CHOA CHU KANG AVENUE 1
465,COLD STORAGE SINGAPORE (1983) PTE LTD,475 CHOA CHU KANG AVENUE 3
471,SHENG SIONG SUPERMARKET PTE LTD,720 CLEMENTI WEST STREET 2
472,NTUC Fairprice Co-operative Ltd,502 WEST COAST DRIVE
473,COLD STORAGE SINGAPORE (1983) PTE LTD,154 WEST COAST ROAD
474,SHENG SIONG SUPERMARKET PTE LTD,61 TEBAN GARDENS ROAD
475,NTUC Fairprice Co-operative Ltd,37 TEBAN GARDENS ROAD
477,COLD STORAGE SINGAPORE (1983) PTE LTD,101 CLEMENTI ROAD
